,song_artist
371,Nothing's Gonna Stop Us Now-Starship
372,Escape (The Pina Colada Song) - Rupert Holmes
373,Will It Go Round in Circles - Billy Preston
374,Get Busy - Sean Paul
375,Stranger on the Shore - Mr Acker Bilk
376,The First Night - Monica
377,Taylor Swift - You Belong With Me
378,If I Ain't Got You - Alicia Keys
379,Runaway - Del Shannon
380,With or Without You - U2
381,The Power of Love - Huey Lewis and the News
382,Greatest Love of All by Whitney Houston
383,Nobody's Supposed to Be Here - Deborah Cox
384,S/Sgt. Barry Sadler - Ballad of the Green Berets
385,I Just Called to Say I Love You - Stevie Wonder
386,Top of the World - The Carpenters
387,Los Lobos - La Bamba
388,Twisted - Keith Sweat
389,Dancing Machine - The Jackson 5
390,"""Funkytown"" - Lipps Inc"
391,Magic - Olivia Newton-John
392,Candy Shop - 50 Cent
393,I Love You Always Forever - Donna Lewis
394,Believe - Cher
395,The Way I Are Timbaland & Keri Hilson
396,George Michael - One More Try
397,Ghostbusters - Ray Parker Jr
398,My Heart Has a Mind of Its Own - Connie Francis
399,Kiss From a Rose - Seal
400,"December, 1963 (Oh, What a Night) - The Four Seasons"
401,Gloria - Laura Branigan
402,Blank Space - Taylor Swift
403,Everything You Want - Vertical Horizon
404,Lionel Richie - Hello
405,It's All Coming Back to Me Now - Celine Dion
406,Shout-Tears for Fears
407,The Power of Love - Celine Dion
408,Windy - The Association
409,Brand New Key - Melanie
410,Cheap Thrills - Sia
411,Some Nights - Fun.
412,Right Here Waiting - Richard Marx
413,Bad Day - Daniel Powter
414,7 Rings - Ariana Grande
415,Baby Baby-Amy Grant
416,Woman - John Lennon
417,Stay With Me - Sam Smith
418,Umbrella - Rihanna
419,The Young Rascals - Groovin' (1967)
420,Can't Hold Us - Macklemore & Ryan Lewis
421,That's the Way Love Goes - Janet Jackson
422,How to Save a Life - The Fray
423,Heartaches by the Number - Guy Mitchell
424,Styx - Babe
425,I Can't Get Next to You - The Temptations
426,Owner of a Lonely Heart - Yes
